raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
5925,926,3149,5964,578,3458
1938,4764,3298,1733,4672,3595
2388,4491,3121,2130,4407,3463
966,5479,3555,490,5741,3769
2460,4174,3366,2147,4184,3668
1951,4704,3345,1587,4673,3740
2376,2127,5497,2152,1653,6194
3710,1029,5261,3685,542,5773
1345,3230,5425,851,2783,6367
4440,4570,990,4259,4603,1138
917,8045,1038,301,8669,1030
2984,5973,1043,2661,6226,1113
2096,2944,4960,1341,2021,6638
1400,3762,4838,911,3076,6014
3604,1372,5024,3436,489,6075
4722,4163,1115,4543,4253,1204
3276,5536,1188,3009,5722,1269
879,7962,1159,316,8407,1277
